iter	Passed	Remaining
415	7296	1473
416	7313	1455
417	7329	1437
418	7346	1420
419	7363	1402
420	7380	1384
421	7395	1367
422	7413	1349
423	7429	1331
424	7446	1314
425	7462	1296
426	7478	1278
427	7495	1260
428	7512	1243
429	7529	1225
430	7546	1208
431	7563	1190
432	7580	1172
433	7596	1155
434	7612	1137
435	7629	1119
436	7645	1102
437	7661	1084
438	7677	1066
439	7692	1049
440	7709	1031
441	7725	1013
442	7743	996
443	7759	978
444	7774	960
445	7790	943
446	7807	925
447	7823	908
448	7841	890
449	7857	873
450	7874	855
451	7890	837
452	7906	820
453	7922	802
454	7939	785
455	7955	767
456	7971	750
457	7986	732
458	8003	714
459	8019	697
460	8035	679
461	8051	662
462	8067	644
463	8085	627
464	8102	609
465	8118	592
466	8134	574
467	8151	557
468	8166	539
469	8182	522
470	8198	504
471	8214	487
472	8231	469
473	8248	452
474	8264	434
475	8280	417
476	8296	400
477	8312	382
478	8328	365
479	8343	347
480	8358	330
481	8375	312
482	8392	295
483	8409	277
484	8426	260
485	8443	243
486	8460	225
487	8477	208
488	8494	191
489	8513	173
490	8530	156
491	8547	138
492	8564	121
493	8581	104
494	8598	86
495	8614	69
496	8619	52
497	8635	34
498	8652	17
499	8668	0
