iter	RMSE
0	0.3768836717
1	0.3552328695
2	0.334395791
3	0.3156013392
4	0.2981713563
5	0.2808735323
6	0.2652152072
7	0.25168135
8	0.2411497204
9	0.2302528154
10	0.2198030156
11	0.2104343098
12	0.2019931558
13	0.1945391796
14	0.1879554063
15	0.1815019605
16	0.1758811023
17	0.1696837533
18	0.1642091809
19	0.1587442336
20	0.1539494144
21	0.1492278341
22	0.1451253226
23	0.1410361534
24	0.1377790476
25	0.134485876
26	0.1317023357
27	0.1285375421
28	0.125819553
29	0.1235974386
30	0.1207824118
31	0.1189358507
32	0.1166211478
33	0.1146027251
34	0.112559059
35	0.1106815113
36	0.1087291629
37	0.1072177378
38	0.1052592657
39	0.1037619704
40	0.1018719543
41	0.1006580638
42	0.09936948486
43	0.09802914169
44	0.09672581041
45	0.09553119238
46	0.09454345703
47	0.09340866084
48	0.09222687699
49	0.0911078697
50	0.09030782746
51	0.08932811733
52	0.08841759091
53	0.08723028432
54	0.08619653662
55	0.08556977161
56	0.08450245393
57	0.08358447213
58	0.0826252429
59	0.08185150783
60	0.08090038771
61	0.08004818421
62	0.07891378213
63	0.07818526662
64	0.07736748373
65	0.07641927967
66	0.07560343742
67	0.0747532747
68	0.07420003564
69	0.07312092076
70	0.07258611553
71	0.07189929115
72	0.07129378449
73	0.07072522906
74	0.07020253289
75	0.06939557904
76	0.06887155724
77	0.06822791967
78	0.06790302191
79	0.0674559702
80	0.06703049044
81	0.06663872787
82	0.06591277848
83	0.06518762495
84	0.06429621928
85	0.06365888177
86	0.06273865749
87	0.06215486769
88	0.06157371087
89	0.06121897167
90	0.06076710722
91	0.06032236504
92	0.05980951556
93	0.05945053972
94	0.0588377922
95	0.0581102967
96	0.05774838549
97	0.05699597892
98	0.05669800041
99	0.05625445166
100	0.05555141616
101	0.05498874441
102	0.05461211876
103	0.05398905725
104	0.05335488994
105	0.0530887599
106	0.05273445688
107	0.05229178376
108	0.05153238185
109	0.0511080782
110	0.05062909196
